Product_name,Category,Review,Overall Sentiment Score,reviewer_name,age,gender,area
"Sunlight Care Detergent Liquid, 1L",Laundry,I purchased 2 bottles. Both seem partially used because it was not full. One bottle had leaked too. Furthermore the item was sold at Rs. 752/= but the MRP marked on the bottle is Rs. 480/=. This is fraud as per consumer protection,3,Davis Zidan,56,Female,Eastern
"Sunlight Care Detergent Liquid, 1L",Laundry,Very fast & safe delivery . Neet packing. I wish to buy more... Thank you .,0,Christopher John,26,Male,North Western
"Sunlight Care Detergent Liquid, 1L",Laundry,Fast delivery during this pandemic. Got the product very next day after ordering. Safely packed and no leakage. Great service!,0,Wilson Olivia,45,Male,Eastern
"Sunlight Care Detergent Liquid, 1L",Laundry,Alot of liquid has leaked.im very much disappointed.,0,Johnson Daniel,67,Female,Southern
"Sunlight Care Detergent Liquid, 1L",Laundry,Thank you very much !! I received my package today which was in a very good condition . The delivery process was very fast and smooth as it was promised in your web site . I have complete trust in your organization to get my packages delivered to me in time to come .,0,Anderson David,30,Male,North Western
"Sunlight Care Detergent Liquid, 1L",Laundry,Fast Delivery Delivered within One Day Well Packed Not Leaked Any Liquid Bottle Seller Recommended,1,Jones John,37,Female,North Central
"Sunlight Care Detergent Liquid, 1L",Laundry,As many have complained here. it was leaking when i got it. reasonable amount has leaked . ,3,Maryam David,55,Female,North Central
"Sunlight Care Detergent Liquid, 1L",Laundry,3/4 filled bottle. had spilled some out of the bottle too,2,Jones Olivia,47,Male,Central
"Sunlight Care Detergent Liquid, 1L",Laundry,Very good but some liquid leaking. Please pack proper way some bottles are up side down ,0,Vithujan Saini,34,Male,North Western
"Sunlight Care Detergent Liquid, 1L",Laundry,Nice packing....fast delivery....highly recommended😊😊😊,1,Anderson Sophia,23,Male,North Western
"Sunlight Care Detergent Liquid, 1L",Laundry,good product with reasonable price,1,Smith Thinesh,28,Male,Southern
"Sunlight Care Detergent Liquid, 1L",Laundry,Very Bad packing .Most of them were fully a Wasted.liquid Are fully leaked.Please maku sure to careful packing in future.Very Dissatisfied with this I lost from it all,3,Williams Emma,52,Female,Central
"Sunlight Care Detergent Liquid, 1L",Laundry,"reasonable price. but pls get precautions to stop the leakage at transport. both 2 parcels have liquid leaks. I saw most of customers are raising same issue. so pls lookin to this. except that, satisfied",1,Williams Thinesh,39,Female,Eastern
"Sunlight Care Detergent Liquid, 1L",Laundry,Quick delivery...Nicely packed...newly manufactured items from authorized seller..discounted price...highly recommended seller...thank you...,1,Anderson David,30,Male,North Western
"Sunlight Care Detergent Liquid, 1L",Laundry,"Product leak. Daraz wrapping for delivery is very bad, wrapped with a lot of bubble wraps and celotape which has tighten the product. and then on delivery the bottles are placed upside down. the liquid has leaked inside the bubble wrap.",3,Bathri Saini,35,Male,North Central
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,thank daraz no damages good product 👍,2,Smith Saini,47,Male,Uva
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,Fortunately no leaks at all. Good packaging. Put inside a box and added liquid sticker. Item is good and the best ever discounted price on daraz. Highly recommended ⭐,0,Vithujan Emma,44,Male,Northern
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,"Awesome , Very well packed",0,Vithujan Michael,49,Female,North Central
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,Thank you Dmart for the the good price. Package came without any damages.,0,Soosai Albert,28,Female,Central
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,Don't cheat people for a small amount. I paid 997 Rs but it's only 900 RS and still old stock. Everything you did to your fellow man has a reward. God is awake to all. so stop being cheated on all and be honest.,0,Wilson John,53,Male,Central
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,"I can got it cheaper than the shops!! (680Rs) Label says 900Rs, but now price is over 1,400Rs! I was lucky!",0,Bathri Sophia,55,Female,Central
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,Blue color comfort 2 bottles were damaged and leaked..... ,2,Anderson Emma,24,Male,North Central
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,"Half of the bottle is leaked, why the manufacturers can't seal mouth of the bottle, poorly packed.",4,Bathri Emma,60,Female,Southern
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,good service...safty packing...fast delivery...thank u daraz...😍,1,Vithujan Daniel,28,Female,Eastern
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,Since Unilever introduced comfort fabric conditioner in to srilankan market comfort morning fresh is impeccably wonderful and appealing. gives your clothes an everlasting wonderful smell. Thank you Unilever. and daraz mall. excellent delivery by LK DEX agent Mohamed azar.,0,Smith Albert,46,Male,North Western
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,Sellers stolen some quantity of liquid. Can’t give stars .only hv 3/4 part inside . I bought 2 bottles both r same . Whn we r buy thru food city or somewhere not lyk dis 😡,4,Johnson Vinoth,25,Male,Sabaragamuwa
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,Comfort bottles were not well packed and has been leaked to other goods. Overall other goods had no damages. ,3,Bathri Saini,35,Male,North Central
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,"All bottles arrived safely packed, wrapped in bubble wrap. No leaks or spills. Thank you seller, Daraz and the courier.",1,Jones Jane,37,Female,Sabaragamuwa
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,good and well packing. best product. worth for money. highly recommended... & delivered by just 20 hrs. thank you darz for your service. ,0,Williams Thinesh,39,Female,Eastern
"Comfort Morning Fresh Fabric Conditioner, 860ml",Laundry,Product is as described. Packaging was done well and the shipping was done very promptly and received it very quickly. Extremely satisfied and I highly recommend this seller and product.,0,Smith Saini,47,Male,Uva
